"","Day","Hour","Temp","KWH"
"391","12/17/2014",6,44.42,"Optimal"
"392","12/17/2014",7,42.98,"Optimal"
"393","12/17/2014",8,42.98,"Optimal"
"394","12/17/2014",9,42.89,"Optimal"
"395","12/17/2014",10,42.44,"Above_Normal"
"396","12/17/2014",11,42.86,"Above_Normal"
"397","12/17/2014",12,44.78,"Above_Normal"
"398","12/17/2014",13,46.04,"Above_Normal"
"399","12/17/2014",14,46.67,"Above_Normal"
"400","12/17/2014",15,47.21,"Above_Normal"
"401","12/17/2014",16,48.02,"Above_Normal"
"402","12/17/2014",17,46.94,"Above_Normal"
"403","12/17/2014",18,45.86,"Above_Normal"
"404","12/17/2014",19,44.96,"Above_Normal"
"405","12/17/2014",20,44.06,"Above_Normal"
"406","12/17/2014",21,42.98,"Above_Normal"
"407","12/17/2014",22,42.08,"Above_Normal"
"408","12/17/2014",23,41,"Above_Normal"
"409","12/18/2014",0,39.92,"Optimal"
"410","12/18/2014",1,39.92,"Optimal"
"411","12/18/2014",2,39.92,"Optimal"
"412","12/18/2014",3,39.92,"Optimal"
"413","12/18/2014",4,39.02,"Optimal"
"414","12/18/2014",5,37.04,"Optimal"
"415","12/18/2014",6,37.04,"Optimal"
"416","12/18/2014",7,36.32,"Optimal"
"417","12/18/2014",8,37.04,"Optimal"
"418","12/18/2014",9,39.92,"Optimal"
"419","12/18/2014",10,41,"Above_Normal"
"420","12/18/2014",11,42.98,"Above_Normal"
"421","12/18/2014",12,42.98,"Above_Normal"
"422","12/18/2014",13,42.98,"Above_Normal"
"423","12/18/2014",14,42.98,"Above_Normal"
"424","12/18/2014",15,42.08,"Above_Normal"
"425","12/18/2014",16,41,"Above_Normal"
"426","12/18/2014",17,41,"Above_Normal"
"427","12/18/2014",18,39.92,"Above_Normal"
"428","12/18/2014",19,39.02,"Above_Normal"
"429","12/18/2014",20,39.02,"Above_Normal"
"430","12/18/2014",21,39.02,"Above_Normal"
"431","12/18/2014",22,37.94,"Above_Normal"
"432","12/18/2014",23,37.04,"Above_Normal"
"433","12/19/2014",0,37.04,"Optimal"
"434","12/19/2014",1,37.04,"Optimal"
"435","12/19/2014",2,35.96,"Optimal"
"436","12/19/2014",3,35.06,"Optimal"
"437","12/19/2014",4,35.06,"Optimal"
"438","12/19/2014",5,33.98,"Optimal"
"439","12/19/2014",6,33.98,"Optimal"
"440","12/19/2014",7,33.98,"Optimal"
"441","12/19/2014",8,35.06,"Optimal"
"442","12/19/2014",9,33.98,"Optimal"
"443","12/19/2014",10,33.98,"Above_Normal"
"444","12/19/2014",11,35.06,"Above_Normal"
"445","12/19/2014",12,35.06,"Above_Normal"
"446","12/19/2014",13,35.06,"Above_Normal"
"447","12/19/2014",14,35.06,"Above_Normal"
"448","12/19/2014",15,35.06,"Above_Normal"
"449","12/19/2014",16,33.08,"Above_Normal"
"450","12/19/2014",17,32,"Above_Normal"
"451","12/19/2014",18,30.92,"Above_Normal"
"452","12/19/2014",19,30.92,"Above_Normal"
"453","12/19/2014",20,30.02,"Above_Normal"
"454","12/19/2014",21,30.02,"Above_Normal"
"455","12/19/2014",22,28.94,"Above_Normal"
"456","12/19/2014",23,28.94,"Above_Normal"
"457","12/20/2014",0,28.04,"Optimal"
"458","12/20/2014",1,28.04,"Optimal"
"459","12/20/2014",2,28.04,"Optimal"
"460","12/20/2014",3,28.04,"Optimal"
"461","12/20/2014",4,28.04,"Optimal"
"462","12/20/2014",5,28.04,"Optimal"
"463","12/20/2014",6,26.96,"Optimal"
"464","12/20/2014",7,28.04,"Optimal"
"465","12/20/2014",8,30.02,"Optimal"
"466","12/20/2014",9,30.11,"Optimal"
"467","12/20/2014",10,30.92,"Above_Normal"
"468","12/20/2014",11,33.08,"Above_Normal"
"469","12/20/2014",12,33.08,"Above_Normal"
"470","12/20/2014",13,33.98,"Above_Normal"
"471","12/20/2014",14,33.8,"Above_Normal"
"472","12/20/2014",15,33.98,"Above_Normal"
"473","12/20/2014",16,33.08,"Above_Normal"
"474","12/20/2014",17,33.44,"Above_Normal"
"475","12/20/2014",18,33.89,"Above_Normal"
"476","12/20/2014",19,35.06,"Above_Normal"
"477","12/20/2014",20,35.06,"Above_Normal"
"478","12/20/2014",21,35.06,"Above_Normal"
"479","12/20/2014",22,35.06,"Above_Normal"
"480","12/20/2014",23,35.06,"Above_Normal"
"481","12/21/2014",0,35.06,"Optimal"
"482","12/21/2014",1,35.33,"Optimal"
"483","12/21/2014",2,35.06,"Optimal"
"484","12/21/2014",3,35.06,"Optimal"
"485","12/21/2014",4,32,"Optimal"
"486","12/21/2014",5,32,"Optimal"
"487","12/21/2014",6,30.92,"Optimal"
"488","12/21/2014",7,30.02,"Optimal"
"489","12/21/2014",8,30.02,"Optimal"
"490","12/21/2014",9,30.11,"Optimal"
"491","12/21/2014",10,30.92,"Above_Normal"
"492","12/21/2014",11,32,"Above_Normal"
"493","12/21/2014",12,32,"Above_Normal"
"494","12/21/2014",13,33.08,"Above_Normal"
"495","12/21/2014",14,33.08,"Above_Normal"
"496","12/21/2014",15,33.8,"Above_Normal"
"497","12/21/2014",16,33.98,"Above_Normal"
"498","12/21/2014",17,33.89,"Above_Normal"
"499","12/21/2014",18,33.98,"Above_Normal"
"500","12/21/2014",19,33.98,"Above_Normal"
"501","12/21/2014",20,33.98,"Above_Normal"
"502","12/21/2014",21,33.98,"Above_Normal"
"503","12/21/2014",22,33.98,"Above_Normal"
"504","12/21/2014",23,33.98,"Above_Normal"
"505","12/22/2014",0,33.08,"Optimal"
"506","12/22/2014",1,33.08,"Optimal"
"507","12/22/2014",2,33.08,"Optimal"
"508","12/22/2014",3,33.08,"Optimal"
"509","12/22/2014",4,33.08,"Optimal"
"510","12/22/2014",5,33.08,"Optimal"
"511","12/22/2014",6,33.56,"Optimal"
"512","12/22/2014",7,33.98,"Optimal"
"513","12/22/2014",8,35.06,"Optimal"
"514","12/22/2014",9,37.94,"Optimal"
"515","12/22/2014",10,39.92,"Above_Normal"
"516","12/22/2014",11,42.08,"Above_Normal"
"517","12/22/2014",12,44.06,"Above_Normal"
"518","12/22/2014",13,43.46,"Above_Normal"
"519","12/22/2014",14,42.44,"Above_Normal"
"520","12/22/2014",15,41.9,"Above_Normal"
"521","12/22/2014",16,41,"Above_Normal"
"522","12/22/2014",17,41,"Above_Normal"
"523","12/22/2014",18,40.1,"Above_Normal"
"524","12/22/2014",19,42.56,"Above_Normal"
"525","12/22/2014",20,41,"Above_Normal"
"526","12/22/2014",21,42.08,"Above_Normal"
"527","12/22/2014",22,42.08,"Above_Normal"
"528","12/22/2014",23,42.08,"Above_Normal"
"529","12/23/2014",0,42.89,"Optimal"
"530","12/23/2014",1,42.89,"Optimal"
"531","12/23/2014",2,42.86,"Optimal"
"532","12/23/2014",3,42.86,"Optimal"
"533","12/23/2014",4,43.43,"Optimal"
"534","12/23/2014",5,42.98,"Optimal"
"535","12/23/2014",6,42.845,"Optimal"
"536","12/23/2014",7,44.06,"Optimal"
"537","12/23/2014",8,44.06,"Optimal"
"538","12/23/2014",9,44.96,"Optimal"
"539","12/23/2014",10,44.06,"Optimal"
"540","12/23/2014",11,44.96,"Above_Normal"
