"Date","month","day","year","hour","DayOfWeek","Weekday","PeakHour","Temperature"
"12/10/2014",12,10,2014,13,3,1,1,42.56
"12/10/2014",12,10,2014,14,3,1,1,41
"12/10/2014",12,10,2014,15,3,1,1,39.92
"12/10/2014",12,10,2014,16,3,1,1,39.92
"12/10/2014",12,10,2014,17,3,1,1,39.11
"12/10/2014",12,10,2014,18,3,1,1,39.11
"12/10/2014",12,10,2014,19,3,1,1,39.02
"12/10/2014",12,10,2014,20,3,1,0,39.14
"12/10/2014",12,10,2014,21,3,1,0,37.94
"12/10/2014",12,10,2014,22,3,1,0,39.02
"12/10/2014",12,10,2014,23,3,1,0,39.02
"12/11/2014",12,11,2014,0,4,1,0,39.14
"12/11/2014",12,11,2014,1,4,1,0,39.155
"12/11/2014",12,11,2014,2,4,1,0,37.94
"12/11/2014",12,11,2014,3,4,1,0,37.94
"12/11/2014",12,11,2014,4,4,1,0,37.04
"12/11/2014",12,11,2014,5,4,1,0,35.96
"12/11/2014",12,11,2014,6,4,1,1,35.06
"12/11/2014",12,11,2014,7,4,1,1,35.33
"12/11/2014",12,11,2014,8,4,1,1,35.33
"12/11/2014",12,11,2014,9,4,1,1,34.43
"12/11/2014",12,11,2014,10,4,1,1,33.98
"12/11/2014",12,11,2014,11,4,1,1,33.89
"12/11/2014",12,11,2014,12,4,1,1,33.656
"12/11/2014",12,11,2014,13,4,1,1,33.86
"12/11/2014",12,11,2014,14,4,1,1,33.86
"12/11/2014",12,11,2014,15,4,1,1,33.98
"12/11/2014",12,11,2014,16,4,1,1,33.89
"12/11/2014",12,11,2014,17,4,1,1,33.98
"12/11/2014",12,11,2014,18,4,1,1,33.08
"12/11/2014",12,11,2014,19,4,1,1,33.08
"12/11/2014",12,11,2014,20,4,1,0,32
"12/11/2014",12,11,2014,21,4,1,0,32
"12/11/2014",12,11,2014,22,4,1,0,32
"12/11/2014",12,11,2014,23,4,1,0,32
"12/12/2014",12,12,2014,0,5,1,0,32
"12/12/2014",12,12,2014,1,5,1,0,30.92
"12/12/2014",12,12,2014,2,5,1,0,30.92
"12/12/2014",12,12,2014,3,5,1,0,30.92
"12/12/2014",12,12,2014,4,5,1,0,30.92
"12/12/2014",12,12,2014,5,5,1,0,32
"12/12/2014",12,12,2014,6,5,1,1,32
"12/12/2014",12,12,2014,7,5,1,1,32
"12/12/2014",12,12,2014,8,5,1,1,33.98
"12/12/2014",12,12,2014,9,5,1,1,35.06
"12/12/2014",12,12,2014,10,5,1,1,36.32
"12/12/2014",12,12,2014,11,5,1,1,35.96
"12/12/2014",12,12,2014,12,5,1,1,37.04
"12/12/2014",12,12,2014,13,5,1,1,37.67
"12/12/2014",12,12,2014,14,5,1,1,37.94
"12/12/2014",12,12,2014,15,5,1,1,37.94
"12/12/2014",12,12,2014,16,5,1,1,37.04
"12/12/2014",12,12,2014,17,5,1,1,35.96
"12/12/2014",12,12,2014,18,5,1,1,36.68
"12/12/2014",12,12,2014,19,5,1,1,35.33
"12/12/2014",12,12,2014,20,5,1,0,33.98
"12/12/2014",12,12,2014,21,5,1,0,33.98
"12/12/2014",12,12,2014,22,5,1,0,33.98
"12/12/2014",12,12,2014,23,5,1,0,33.08
"12/13/2014",12,13,2014,0,6,0,0,33.08
"12/13/2014",12,13,2014,1,6,0,0,33.08
"12/13/2014",12,13,2014,2,6,0,0,33.08
"12/13/2014",12,13,2014,3,6,0,0,32
"12/13/2014",12,13,2014,4,6,0,0,32
"12/13/2014",12,13,2014,5,6,0,0,32
"12/13/2014",12,13,2014,6,6,0,1,32
"12/13/2014",12,13,2014,7,6,0,1,33.08
"12/13/2014",12,13,2014,8,6,0,1,33.8
"12/13/2014",12,13,2014,9,6,0,1,35.06
"12/13/2014",12,13,2014,10,6,0,1,35.96
"12/13/2014",12,13,2014,11,6,0,1,37.94
"12/13/2014",12,13,2014,12,6,0,1,39.92
"12/13/2014",12,13,2014,13,6,0,1,41
"12/13/2014",12,13,2014,14,6,0,1,41
"12/13/2014",12,13,2014,15,6,0,1,39.92
"12/13/2014",12,13,2014,16,6,0,1,39.02
"12/13/2014",12,13,2014,17,6,0,1,39.02
"12/13/2014",12,13,2014,18,6,0,1,37.94
"12/13/2014",12,13,2014,19,6,0,1,37.04
"12/13/2014",12,13,2014,20,6,0,0,35.96
"12/13/2014",12,13,2014,21,6,0,0,33.98
"12/13/2014",12,13,2014,22,6,0,0,33.98
"12/13/2014",12,13,2014,23,6,0,0,33.08
"12/14/2014",12,14,2014,0,0,0,0,33.98
"12/14/2014",12,14,2014,1,0,0,0,33.98
"12/14/2014",12,14,2014,2,0,0,0,33.98
"12/14/2014",12,14,2014,3,0,0,0,33.98
"12/14/2014",12,14,2014,4,0,0,0,33.08
"12/14/2014",12,14,2014,5,0,0,0,33.98
"12/14/2014",12,14,2014,6,0,0,1,33.98
"12/14/2014",12,14,2014,7,0,0,1,33.98
"12/14/2014",12,14,2014,8,0,0,1,35.42
"12/14/2014",12,14,2014,9,0,0,1,37.04
"12/14/2014",12,14,2014,10,0,0,1,39.02
"12/14/2014",12,14,2014,11,0,0,1,41
"12/14/2014",12,14,2014,12,0,0,1,42.98
"12/14/2014",12,14,2014,13,0,0,1,44.06
"12/14/2014",12,14,2014,14,0,0,1,44.06
"12/14/2014",12,14,2014,15,0,0,1,42.98
"12/14/2014",12,14,2014,16,0,0,1,41
"12/14/2014",12,14,2014,17,0,0,1,39.92
"12/14/2014",12,14,2014,18,0,0,1,37.94
"12/14/2014",12,14,2014,19,0,0,1,37.04
"12/14/2014",12,14,2014,20,0,0,0,35.06
"12/14/2014",12,14,2014,21,0,0,0,35.06
"12/14/2014",12,14,2014,22,0,0,0,33.98
"12/14/2014",12,14,2014,23,0,0,0,33.98
"12/15/2014",12,15,2014,0,1,1,0,33.98
"12/15/2014",12,15,2014,1,1,1,0,33.08
"12/15/2014",12,15,2014,2,1,1,0,33.08
"12/15/2014",12,15,2014,3,1,1,0,33.08
"12/15/2014",12,15,2014,4,1,1,0,33.08
