"Account","Date","kWh","month","day","year","hour","DayOfWeek","Weekday","PeakHour","Temperature"
26435791004,"1/2/2014",87.465,1,2,2014,"0",4,"1",0,21
26435791004,"1/2/2014",86.7,1,2,2014,"1",4,"1",0,20.16666667
26435791004,"1/2/2014",258.224991,1,2,2014,"10",4,"1",1,25.8
26435791004,"1/2/2014",255.704994,1,2,2014,"11",4,"1",1,24.56666667
26435791004,"1/2/2014",253.634995,1,2,2014,"12",4,"1",1,24.1
26435791004,"1/2/2014",250.904996,1,2,2014,"13",4,"1",1,25.83333333
26435791004,"1/2/2014",236.759994,1,2,2014,"14",4,"1",1,19.9
26435791004,"1/2/2014",229.8,1,2,2014,"15",4,"1",1,13.95
26435791004,"1/2/2014",225.464994,1,2,2014,"16",4,"1",1,12.13333333
26435791004,"1/2/2014",228.854997,1,2,2014,"17",4,"1",1,10.3
26435791004,"1/2/2014",157.514997,1,2,2014,"18",4,"1",1,8.1
26435791004,"1/2/2014",156.809995,1,2,2014,"19",4,"1",1,6.1
26435791004,"1/2/2014",88.14,1,2,2014,"2",4,"1",0,19.2
26435791004,"1/2/2014",116.714998,1,2,2014,"20",4,"1",0,6.45
26435791004,"1/2/2014",110.744999,1,2,2014,"21",4,"1",0,4.45
26435791004,"1/2/2014",103.425,1,2,2014,"22",4,"1",0,3.1
26435791004,"1/2/2014",87.48,1,2,2014,"23",4,"1",0,2.766666667
26435791004,"1/2/2014",93.524999,1,2,2014,"3",4,"1",0,19.2
26435791004,"1/2/2014",213.869995,1,2,2014,"4",4,"1",0,19.2
26435791004,"1/2/2014",212.459997,1,2,2014,"5",4,"1",0,19.26666667
26435791004,"1/2/2014",254.369992,1,2,2014,"6",4,"1",1,19.26666667
26435791004,"1/2/2014",251.639997,1,2,2014,"7",4,"1",1,19.2
26435791004,"1/2/2014",257.969993,1,2,2014,"8",4,"1",1,19.56666667
26435791004,"1/2/2014",257.624997,1,2,2014,"9",4,"1",1,24.1
26435791004,"1/20/2014",81.345,1,20,2014,"0",1,"1",0,30.9
26435791004,"1/20/2014",82.905,1,20,2014,"1",1,"1",0,32
26435791004,"1/20/2014",220.859995,1,20,2014,"10",1,"1",1,37
26435791004,"1/20/2014",219.989996,1,20,2014,"11",1,"1",1,37.9
26435791004,"1/20/2014",222.179998,1,20,2014,"12",1,"1",1,39
26435791004,"1/20/2014",220.079998,1,20,2014,"13",1,"1",1,39.9
26435791004,"1/20/2014",204.404993,1,20,2014,"14",1,"1",1,41
26435791004,"1/20/2014",205.604994,1,20,2014,"15",1,"1",1,41
26435791004,"1/20/2014",202.379994,1,20,2014,"16",1,"1",1,39.9
26435791004,"1/20/2014",203.549994,1,20,2014,"17",1,"1",1,39.9
26435791004,"1/20/2014",160.274995,1,20,2014,"18",1,"1",1,36
26435791004,"1/20/2014",149.429999,1,20,2014,"19",1,"1",1,36
26435791004,"1/20/2014",81.6,1,20,2014,"2",1,"1",0,32
26435791004,"1/20/2014",113.339999,1,20,2014,"20",1,"1",0,35.1
26435791004,"1/20/2014",104.805,1,20,2014,"21",1,"1",0,32
26435791004,"1/20/2014",100.2,1,20,2014,"22",1,"1",0,28.9
26435791004,"1/20/2014",81.525,1,20,2014,"23",1,"1",0,27
26435791004,"1/20/2014",81.45,1,20,2014,"3",1,"1",0,33.1
26435791004,"1/20/2014",81.81,1,20,2014,"4",1,"1",0,33.1
26435791004,"1/20/2014",85.92,1,20,2014,"5",1,"1",0,33.1
26435791004,"1/20/2014",233.984995,1,20,2014,"6",1,"1",1,34
26435791004,"1/20/2014",233.669994,1,20,2014,"7",1,"1",1,34
26435791004,"1/20/2014",227.264993,1,20,2014,"8",1,"1",1,35.1
26435791004,"1/20/2014",226.034993,1,20,2014,"9",1,"1",1,36
26435791004,"1/21/2014",80.745,1,21,2014,"0",2,"1",0,23
26435791004,"1/21/2014",80.73,1,21,2014,"1",2,"1",0,21.9
26435791004,"1/21/2014",303.179996,1,21,2014,"10",2,"1",1,15.1
26435791004,"1/21/2014",304.334991,1,21,2014,"11",2,"1",1,15.1
26435791004,"1/21/2014",300.014994,1,21,2014,"12",2,"1",1,16
26435791004,"1/21/2014",297.959992,1,21,2014,"13",2,"1",1,16
26435791004,"1/21/2014",280.694994,1,21,2014,"14",2,"1",1,16
26435791004,"1/21/2014",253.709994,1,21,2014,"15",2,"1",1,15.1
26435791004,"1/21/2014",233.684996,1,21,2014,"16",2,"1",1,12.825
26435791004,"1/21/2014",228.104992,1,21,2014,"17",2,"1",1,12.15
26435791004,"1/21/2014",158.999994,1,21,2014,"18",2,"1",1,12.1
26435791004,"1/21/2014",153.149993,1,21,2014,"19",2,"1",1,12.15
26435791004,"1/21/2014",80.52,1,21,2014,"2",2,"1",0,19.9
26435791004,"1/21/2014",116.459998,1,21,2014,"20",2,"1",0,12.1
26435791004,"1/21/2014",113.535,1,21,2014,"21",2,"1",0,12
26435791004,"1/21/2014",103.739999,1,21,2014,"22",2,"1",0,12
26435791004,"1/21/2014",87.69,1,21,2014,"23",2,"1",0,11.55
26435791004,"1/21/2014",82.41,1,21,2014,"3",2,"1",0,18
26435791004,"1/21/2014",81.255,1,21,2014,"4",2,"1",0,16
26435791004,"1/21/2014",85.2,1,21,2014,"5",2,"1",0,15.1
26435791004,"1/21/2014",255.764994,1,21,2014,"6",2,"1",1,14
26435791004,"1/21/2014",285.749995,1,21,2014,"7",2,"1",1,12.9
26435791004,"1/21/2014",296.354993,1,21,2014,"8",2,"1",1,14
26435791004,"1/21/2014",298.76999,1,21,2014,"9",2,"1",1,15.1
26435791004,"1/22/2014",88.245,1,22,2014,"0",3,"1",0,10.9
26435791004,"1/22/2014",87.975,1,22,2014,"1",3,"1",0,10.9
26435791004,"1/22/2014",263.429992,1,22,2014,"10",3,"1",1,10.9
26435791004,"1/22/2014",257.354995,1,22,2014,"11",3,"1",1,10.9
26435791004,"1/22/2014",257.429992,1,22,2014,"12",3,"1",1,14
26435791004,"1/22/2014",259.139993,1,22,2014,"13",3,"1",1,16
26435791004,"1/22/2014",248.954996,1,22,2014,"14",3,"1",1,17.1
26435791004,"1/22/2014",248.219997,1,22,2014,"15",3,"1",1,17.1
26435791004,"1/22/2014",244.289997,1,22,2014,"16",3,"1",1,17.1
26435791004,"1/22/2014",244.154994,1,22,2014,"17",3,"1",1,16
26435791004,"1/22/2014",170.024995,1,22,2014,"18",3,"1",1,15.1
26435791004,"1/22/2014",164.879997,1,22,2014,"19",3,"1",1,12.9
26435791004,"1/22/2014",87.765,1,22,2014,"2",3,"1",0,10.65
26435791004,"1/22/2014",120.239996,1,22,2014,"20",3,"1",0,12
26435791004,"1/22/2014",111.554997,1,22,2014,"21",3,"1",0,10.9
26435791004,"1/22/2014",104.52,1,22,2014,"22",3,"1",0,10
26435791004,"1/22/2014",87.735,1,22,2014,"23",3,"1",0,9
26435791004,"1/22/2014",88.785,1,22,2014,"3",3,"1",0,9.7
26435791004,"1/22/2014",88.395,1,22,2014,"4",3,"1",0,8.8
26435791004,"1/22/2014",93.765,1,22,2014,"5",3,"1",0,8.8
26435791004,"1/22/2014",256.709994,1,22,2014,"6",3,"1",1,8.35
26435791004,"1/22/2014",269.354992,1,22,2014,"7",3,"1",1,6.9
26435791004,"1/22/2014",262.169994,1,22,2014,"8",3,"1",1,7.45
26435791004,"1/22/2014",257.024997,1,22,2014,"9",3,"1",1,9
26435791004,"1/23/2014",88.23,1,23,2014,"0",4,"1",0,8.1
26435791004,"1/23/2014",88.56,1,23,2014,"1",4,"1",0,7
26435791004,"1/23/2014",313.919992,1,23,2014,"10",4,"1",1,14
